date,description,amount
2026-03-01,Salary ACME Corp,3200.00
2026-03-01,Landlord Rent Payment,-950.00
2026-03-02,REWE Supermarket,-64.50
2026-03-05,Netflix Subscription,-17.99
2026-03-08,Spotify Premium,-10.99
2026-03-12,Gym Membership,-35.00
2026-03-15,Restaurant Dinner,-42.00
2026-03-20,REWE Supermarket,-78.20
2026-04-01,Salary ACME Corp,3200.00
2026-04-01,Landlord Rent Payment,-950.00
2026-04-03,REWE Supermarket,-55.10
2026-04-05,Netflix Subscription,-17.99
2026-04-08,Spotify Premium,-10.99
2026-04-12,Gym Membership,-35.00
2026-04-18,Electronics Purchase,-210.00
2026-04-22,REWE Supermarket,-82.30
2026-05-01,Salary ACME Corp,3200.00
2026-05-01,Landlord Rent Payment,-950.00
2026-05-04,REWE Supermarket,-61.40
2026-05-05,Netflix Subscription,-17.99
2026-05-08,Spotify Premium,-10.99
2026-05-12,Gym Membership,-35.00
2026-05-25,Weekend Trip Hotel,-180.00
2026-06-01,Salary ACME Corp,3200.00
2026-06-01,Landlord Rent Payment,-950.00
2026-06-03,REWE Supermarket,-70.50
2026-06-05,Netflix Subscription,-17.99
2026-06-08,Spotify Premium,-10.99
2026-06-12,Gym Membership,-35.00
